Gene_ID,AJ1,AJ2,AJ3,AJ4,AJ5,AJ6,,,avg-con,avg-si2
LOC102546294,0.0174817,0.00835247,0.00952791,0.0369109,0.00903104,0,,,,
LOC100128531,0,0.0206409,0,0,0,0,,,,
STXBP2,48.224,49.7274,52.676,51.4594,45.4338,43.8469,,,,
FNBP4,22.877,22.0104,20.1657,18.2376,16.8901,17.137,,,,
TSPAN5,23.7409,23.7071,23.6877,23.6341,23.1893,23.0908,,,,
DIAPH1,36.5101,36.5597,33.8982,29.0911,27.8977,27.4707,,,,
NGLY1,21.8575,22.0014,22.4027,15.2632,16.724,16.109,,,,
SMYD2,23.185,23.0856,24.8212,35.3142,33.8906,34.9137,,,,
CASC15,0,0,0.0214463,0.0103853,0.0406557,0,,,,
ERBB2IP,35.2949,34.4867,32.5737,29.8541,33.3508,34.3052,,,,
ETAA1,4.97578,4.52339,3.99311,4.61123,4.91311,4.77093,,,,
TMEM167A,16.7524,15.815,16.3399,22.5511,24.0904,26.1467,,,,
SERPINA5,0.442792,0.334041,0.45726,0.975917,0.890907,0.877815,,,,
SRSF7,46.6962,47.1211,48.0821,45.845,48.4977,48.7786,,,,
SLC22A7,0,0,0,0,0,0,,,,
RBM25,23.0262,22.4837,21.0506,28.3922,30.8068,31.2505,,,,
TMED9,186.013,196.852,206.739,209.718,200.369,201.792,,,,
SNRPB2,42.5722,44.0662,47.9517,49.2114,50.3106,52.2736,,,,
MIR770,0,0,0,0,0,0,,,,
ZNF48,1.14592,1.19704,1.49964,1.7542,1.79301,1.65402,,,,
COPS6,78.9412,83.7288,87.8857,78.1468,77.7935,75.1118,,,,
MIR4505,0,0,0,0,0,0,,,,
STRIP1,12.3435,11.968,11.3007,12.6527,12.1878,11.8738,,,,
KIAA1522,13.8817,13.912,13.1581,10.9152,9.68914,9.97919,,,,
RBM5,32.0744,32.8374,33.0343,31.7116,30.0524,30.6882,,,,
FBXL4,6.6585,6.82894,5.99236,6.39112,6.16517,6.30392,,,,
SNORD64,0,0,0,0,0,0,,,,
FOXD4L4,0.0381882,0.0451816,0.0296571,0.018126,0.039768,0.0416493,,,,
ADRM1,91.8504,96.4082,100.725,109.612,105.771,103.711,,,,
CWC27,17.9069,17.7401,18.8934,18.9416,20.4547,19.1469,,,,
LOC101927230,0.400278,0.446242,0.581762,0.140858,0.34464,0.350631,,,,
SEPW1,85.803,91.153,97.5223,93.8268,90.9379,86.8333,,,,
HS6ST1,6.00888,5.72502,5.93349,8.93233,9.22584,9.26547,,,,
MIR4441,0,0,0,0,0,0,,,,
MLYCD,2.46365,2.15536,2.42239,2.7854,2.78623,2.72312,,,,
KHDC1,5.10875,5.14031,5.86931,4.86597,4.92953,4.45035,,,,
ZNF107,2.98939,2.91333,2.48754,2.44313,2.73749,2.52965,,,,
CCDC129,0,0,0,0.00805545,0.00502192,0.00638653,,,,
LINGO2,0,0,0,0,0,0,,,,
LOC101929059,0,0.0162667,0,0,0,0,,,,
TTTY9A,0,0,0,0,0,0,,,,
FYCO1,8.97709,8.97204,7.80621,6.65438,7.05355,7.29336,,,,
EMCN,0,0.00416623,0.00951056,0,0.00901459,0.0114641,,,,
IFNB1,0,0,0,0,0,0,,,,
TBC1D23,12.7135,11.7814,11.5943,15.5907,16.539,17.1367,,,,
EMC1,15.88,15.9831,15.8709,13.7237,14.3261,14.6049,,,,
CCDC30,0.08299,0.0656298,0.068627,0.0785493,0.0960939,0.0827237,,,,
SALL2,0.60702,0.526614,0.525162,0.620778,0.623506,0.638999,,,,
CIRBP,36.6581,35.5893,38.0874,58.43,57.0155,57.0644,,,,
RNASE6,0,0,0.0211195,0,0.0200181,0,,,,
LOC101927257,0,0,0,0,0,0.0126036,,,,
LOC102723318,0,0,0,0,0,0,,,,
PECAM1,0.635206,0.525059,0.688156,1.18484,0.958272,1.14698,,,,
SBNO1,6.3103,5.69651,5.74997,8.32078,8.79013,9.26489,,,,
CCDC81,0.0835683,0.116713,0.0630648,0.075963,0.0743439,0.0675722,,,,
MINOS1,13.3109,14.5344,14.8292,14.4044,13.9012,13.806,,,,
TMEM161A,18.4564,19.3442,19.7937,15.0599,14.143,14.1453,,,,
PNN,38.2142,38.4421,35.9349,46.9004,46.8565,48.2927,,,,
KRTAP12-1,0,0,0,0,0,0,,,,
ABCA4,0.106932,0.11773,0.114027,0.0343573,0.0600447,0.0519253,,,,
SECTM1,7.34422,7.17031,7.71869,8.04795,7.54686,7.75349,,,,
OPRM1,0,0.000556817,0,0,0,0.0015313,,,,
RAG2,0,0,0,0,0,0,,,,
KCNK6,3.86625,3.59112,3.66917,4.73095,3.68733,3.95215,,,,
ZBTB7C,0.0960066,0.0678085,0.0910014,0.118981,0.116445,0.142602,,,,
10-Sep,26.3692,25.6926,25.1171,32.3741,34.3733,35.4229,,,,
DDX53,0.137743,0.131623,0.0375366,0.136327,0.0978426,0.147053,,,,
MFHAS1,2.86483,2.61539,2.57971,2.44652,2.42486,2.77366,,,,
ZNF626,4.42377,4.61945,4.77069,3.95736,4.37688,4.11847,,,,
SEMA6A,0.0223838,0.0332721,0.0189773,0.0367587,0.0513932,0.035947,,,,
SRCRB4D,0.0954971,0.121672,0.173494,0.161306,0.0986677,0.0920177,,,,
LINC00297,0,0,0,0,0,0,,,,
MRS2,25.6318,24.8446,25.7799,24.6001,25.2336,25.6396,,,,
GPX6,0,0,0,0,0,0,,,,
FAM101B,0.223012,0.222369,0.221955,0.350592,0.375678,0.326152,,,,
NFYA,12.7401,12.7604,12.2351,14.0704,14.05,13.7364,,,,
AUP1,80.1714,82.9746,84.2122,55.407,49.3276,49.8363,,,,
C10orf115,0,0,0.0416523,0.04034,0,0,,,,
LINC00940,0,0,0,0,0,0,,,,
ANP32B,173.044,176.262,187.371,167.173,167.177,160.605,,,,
SNORD70,0,0,0,0,0,0,,,,
ENTPD7,3.41714,3.37707,2.91679,2.92742,3.21727,3.37268,,,,
IL4,0,0,0,0,0.0470892,0,,,,
SF3A2,36.8308,39.5334,36.585,33.9857,33.054,28.1595,,,,
KIAA0930,5.9982,5.94769,6.02,7.06231,6.81721,6.73448,,,,
CENPBD1P1,10.3156,10.8297,10.6433,11.5683,11.5854,12.0361,,,,
RHBDD3,4.51755,4.91582,5.45447,4.87187,4.65637,4.92761,,,,
CCL17,0,0,0,0,0,0,,,,
GDA,0.00885779,0,0,0,0,0,,,,
CYP2S1,1.63819,1.8274,1.71846,1.57749,1.95462,1.69319,,,,
ARF3,43.7116,44.5376,40.4222,47.6729,48.5307,48.8951,,,,
DBNDD2,92.568,90.7685,96.0238,74.3634,69.8061,71.0462,,,,
MIR6813,0,0,0,0,0,0,,,,
LOC100129534,0.405351,0.325366,0.344644,0.616219,0.536075,0.521959,,,,
TAF7,73.5793,71.4081,75.4884,84.2283,85.2005,87.1002,,,,
NVL,15.3521,15.7579,15.4225,12.997,13.5908,12.7754,,,,
TMEM208,23.2262,23.9181,23.5356,28.7753,27.5212,26.0738,,,,
LOC100500773,0,0,0,0,0,0,,,,
KRTAP13-1,0,0,0,0,0,0,,,,
LINC00324,0.841788,1.01386,1.27124,1.34227,1.18683,1.24433,,,,
ZBTB41,3.2905,3.42354,3.02609,2.842,3.62516,4.10791,,,,
SMYD5,15.6069,16.5817,16.1716,14.8331,14.7777,14.5372,,,,
CLEC19A,0,0,0,0,0,0.00950645,,,,
CCDC84,12.668,12.6575,11.808,9.15255,7.09809,6.96079,,,,
MT3,0.0441212,0,0,0.0931576,0.045586,0,,,,
MYL12B,585.546,591.901,672.523,620.146,605.048,611.006,,,,
MREG,3.16783,3.09125,2.98807,3.24279,3.31566,3.37402,,,,
MEI4,0.00695229,0,0,0,0,0,,,,
LTK,2.48707,2.203,2.44482,2.20173,1.8201,1.86748,,,,
TTLL5,7.17138,7.48173,6.69729,6.33463,6.42881,6.90946,,,,
UGT1A1,2.44E-08,8.00E-09,6.89E-08,7.04E-13,4.52E-11,4.93E-10,,,,
MIR105-2,0,0,0,0,0,0,,,,
ZNF826P,4.12675,3.71613,3.54543,3.60338,3.61623,3.90207,,,,
ZNF780A,4.67089,4.37719,4.13289,4.04919,4.42496,4.36469,,,,
AMER1,1.85637,1.89292,1.67094,1.1432,1.34924,1.3067,,,,
C7orf61,1.6816,1.86478,2.03669,1.22734,1.07249,1.44575,,,,
MIR6780A,0,0,0,0,0,0,,,,
SNORD116-27,0,0,0,0,0,0,,,,
ST6GALNAC3,0.0162646,0.0362812,0.0379381,0.018558,0.0392108,0.0459586,,,,
LMF1-AS1,0,0,0,0,0,0,,,,
SNORD113-2,0,0,0,0,0,0,,,,
ESRG,0.0395174,0.021578,0.018461,0.0238392,0.0206091,0.00741771,,,,
SLC25A28,18.5348,20.2331,20.2038,20.0208,18.3766,17.4348,,,,
NHLRC1,0.867248,0.951792,0.97342,1.26909,1.38399,1.15081,,,,
IAPP,0.0124714,0,0.0101958,0.0263321,0,0.0122901,,,,
HLA-DQA1,0.0495769,0.0473742,0.047286,0.0981346,0.0768344,0.0732845,,,,
LPAR6,0.0073018,0,0,0.0154208,0,0.0191931,,,,
MIR3910-2,0,0,0,0,0,0,,,,
LOC100130954,0,0,0,0,0,0,,,,
LOC101927796,0,0,0,0,0,0,,,,
GOLGA2P3Y,0.0651523,0.0807499,0.0632843,0.0694625,0.0473208,0.0245802,,,,
UBE2E1,66.4655,64.534,70.8919,81.4406,86.9987,89.6734,,,,
FIGN,2.42769,2.38193,1.92117,1.57811,1.53658,1.69289,,,,
SELK,64.0443,66.6329,70.313,61.4937,56.252,57.785,,,,
RPL38,1256.27,1357.57,1509.66,1444.4,1331.16,1316.4,,,,
IL17F,0,0.0263074,0.0300096,0,0,0,,,,
GIMAP1,0,0,0.00999884,0.0013834,0,0,,,,
ERGIC2,22.6485,22.6996,22.4822,26.5581,28.3713,29.0943,,,,
COPG2,16.4922,17.2297,17.7646,18.3832,19.8386,18.9647,,,,
NCRUPAR,0,0,0,0,0,0,,,,
DNAH9,0,0,0,0,0,0,,,,
GPR65,0.0268426,0.0183214,0.0250797,0.016193,0.0158479,0,,,,
LRIG3,3.88924,3.72087,3.76417,2.87708,2.9593,3.10208,,,,
SERPINB2,0.632283,0.678552,0.561977,0.924234,1.10554,1.25258,,,,
MIR4763,0,0,0,0,14.0036,0,,,,
KCNQ1OT1,0.0953088,0.0750836,0.0550185,0.0626433,0.059439,0.0638635,,,,
LRRC1,6.97925,6.35005,6.91609,5.73459,5.96313,5.82108,,,,
RTF1,12.6454,12.609,12.1055,14.0827,14.3472,14.1631,,,,
GNAQ,7.82295,8.00104,7.45888,7.61531,8.55772,8.66503,,,,
ELAVL1,16.4363,16.8004,16.4613,16.8069,17.2113,17.1152,,,,
LOC101930452,0.00395755,0.00378172,0,0.008356,0,0,,,,
FGF1,0.99739,0.957986,0.779975,1.03565,1.13188,1.20702,,,,
MIR4646,0,0,0,0,0,0,,,,
EXOC7,30.0523,31.7552,30.3115,28.4333,27.3738,27.6201,,,,
GMPPA,26.7571,27.7463,29.6158,18.7626,18.8225,18.87,,,,
GOLGA2P9,0,0,0,0,0,0,,,,
SNORA21,3.56878,13.6409,7.78026,7.53513,0,9.37841,,,,
SDSL,6.85488,8.09156,8.20722,9.07158,9.03625,7.54541,,,,
SCN8A,0.00294651,0,0,0.00622278,0.00456724,0,,,,
SNAR-G1,0,0,0,0,0,0,,,,
TMX1,18.9461,18.4696,19.592,21.3477,23.3862,24.1005,,,,
CD52,0.333123,0.318322,0.42364,0.234453,0.458911,0.364757,,,,
RAB3A,1.02295,0.855316,0.919931,1.10693,0.977649,0.991284,,,,
KCNK12,0.0135959,0,0.0148202,0.0717664,0.042142,0.0357289,,,,
MIR3117,0,0,0,0,0,0,,,,
C9orf172,0.36446,0.330853,0.410521,0.641268,0.709188,0.542734,,,,
IGSF11,0,0.00980731,0,0,0.0212095,0.0134855,,,,
TBL1XR1,11.4102,10.7823,10.6888,15.703,17.3762,18.1441,,,,
BOD1,15.6921,15.114,16.8074,36.4335,36.6393,36.6748,,,,
PLA2R1,1.0039,0.895847,0.849738,1.01136,1.07689,1.10821,,,,
BHMT,0,0,0,0,0,0,,,,
OR10X1,0,0,0,0,0,0,,,,
BPIFC,0,0,0,0,0,0,,,,
ACTL7A,0,0,0,0,0,0,,,,
CIAPIN1,18.0139,19.4114,20.4437,21.4608,21.113,20.4067,,,,
LINC01343,0,0,0,0,0,0,,,,
TPM3P9,4.27931,4.25213,3.86707,3.47354,3.5436,3.44137,,,,
TNN,0.00689296,0.00329335,0.00751364,0,0,0,,,,
CHD3,22.3495,21.5791,20.0887,13.6017,13.1648,13.5713,,,,
PRH1,2.59205,2.265,2.14301,2.30346,2.09243,1.38336,,,,
TTC21B,2.95766,2.96726,2.68323,2.23076,2.4914,2.50418,,,,
